Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
9968,435.91,407.15,1.330000000000041,1.2199999999999704
9984,437.24,408.48,1.329999999999984,1.330000000000041
10003,438.86,410.2,1.6200000000000045,1.7199999999999704
10019,439.77,411.27,0.9099999999999682,1.0699999999999932
10035,440.87,412.76,1.1000000000000227,1.490000000000009
10053,442.02,414.04,1.1499999999999773,1.2800000000000296
10069,443.29,415.34,1.2700000000000387,1.2999999999999545
10086,444.34,416.51,1.0499999999999545,1.170000000000016
10102,445.54,417.71,1.2000000000000455,1.1999999999999886
10118,446.74,418.73,1.1999999999999886,1.0200000000000387
10135,447.99,420.22,1.25,1.490000000000009
10154,449.27,421.65,1.2799999999999727,1.42999999999995
10170,450.52,423.08,1.25,1.4300000000000068
10186,451.77,424.57,1.25,1.490000000000009
10204,453.0,425.95,1.2300000000000182,1.3799999999999955
10221,454.25,427.23,1.25,1.2800000000000296
10238,455.52,428.61,1.2699999999999818,1.3799999999999955
10255,456.72,429.99,1.2000000000000455,1.3799999999999955
10272,457.85,431.72,1.1299999999999955,1.7300000000000182
10291,458.99,432.6,1.1399999999999864,0.8799999999999955
10308,460.24,433.8,1.25,1.1999999999999886
10325,461.52,434.71,1.2799999999999727,0.9099999999999682
10342,462.93,435.86,1.410000000000025,1.150000000000034
10360,464.23,437.22,1.3000000000000114,1.3600000000000136
10377,465.8,438.63,1.5699999999999932,1.4099999999999682
10394,467.13,439.98,1.329999999999984,1.3500000000000227
10411,468.67,441.76,1.5400000000000205,1.7799999999999727
10427,470.44,442.64,1.7699999999999818,0.8799999999999955
10445,471.9,443.71,1.4599999999999795,1.0699999999999932
10462,473.47,445.09,1.57000000000005,1.3799999999999955
10479,475.08,446.32,1.6099999999999568,1.2300000000000182
10496,476.7,447.62,1.6200000000000045,1.3000000000000114
10513,478.37,448.95,1.670000000000016,1.329999999999984
10530,479.93,450.23,1.5600000000000023,1.2800000000000296
10547,481.42,451.95,1.490000000000009,1.7199999999999704
10567,482.83,452.86,1.4099999999999682,0.910000000000025
10584,484.16,453.99,1.330000000000041,1.1299999999999955
10601,485.44,455.16,1.2799999999999727,1.170000000000016
10618,486.56,456.33,1.1200000000000045,1.169999999999959
10636,487.65,457.56,1.089999999999975,1.2300000000000182
10654,488.8,458.78,1.150000000000034,1.2199999999999704
10671,490.08,459.96,1.2799999999999727,1.1800000000000068
10688,491.49,461.26,1.410000000000025,1.3000000000000114
10704,492.76,462.67,1.2699999999999818,1.410000000000025
10721,493.83,464.08,1.0699999999999932,1.4099999999999682
10737,495.03,465.43,1.1999999999999886,1.3500000000000227
10754,496.23,466.79,1.2000000000000455,1.3600000000000136
10772,497.38,468.15,1.1499999999999773,1.3599999999999568
10790,498.55,469.48,1.170000000000016,1.330000000000041
10807,499.75,470.83,1.1999999999999886,1.349999999999966
10824,501.03,472.21,1.2799999999999727,1.3799999999999955
10841,502.36,473.6,1.330000000000041,1.3900000000000432
